article_id,new_general_yi,new_special_yi,refinance_yi
65689,0.0,0.0,0.0
65688,0.0,145.0,52.0
65686,0.0,506.87,420.65
65913,0.0,0.0,135.02
65708,38.0,65.66,0.0
65671,30.0,130.0,70.2
65641,63.19,218.0,186.48
65637,0.0,0.0,0.0
65632,7.76,0.0,125.1
66003,0.0,850.5,70.73
66001,10.0,271.4,209.29
65967,0.0,0.0,0.0
65945,41.65,244.0,164.58
65920,0.0,122.0,122.8939
65905,24.0,50.0,18.4
65899,32.0,0.0,0.0
65896,76.31,400.0,21.71
69230,0.0,73.75,399.11
65834,10.76,221.34,0.0
65626,119.07,277.14,198.32
65620,0.0,263.0,47.05
65618,24.0,20.0,0.0
65615,0.0,22.1,159.67
65605,0.0,0.0,219.48
65602,0.0,0.0,131.89
65599,0.0,0.0,0.0
65568,56.56,154.88,348.49
65526,0.0,308.27,0.0
65484,55.55,0.0,114.8
65912,0.0,0.0,230.02
65240,60.0,200.0,47.29
65237,0.0,2.0,195.15
65226,64.584,535.0,192.0624
65225,0.0,0.0,161.29
65216,0.0,13.27,262.26
65215,0.0,122.3,77.78
65202,0.0,0.0,0.0
65200,30.0,57.2,48.48
65189,210.0,600.0,217.0
65186,0.0,0.0,162.75
65172,0.0,614.6,86.22
65157,106.0,714.7,449.87
65148,0.0,183.0,82.75
65123,9.0,100.0,0.0
65106,27.53,337.87,17.12
65074,10.0,18.0,17.846
65060,0.0,0.0,314.98
65047,53.6,73.04,307.64
69223,18.0,67.47,431.49
64849,30.0,90.0,100.93
64845,0.0,0.0,0.0
64831,33.0,100.0,103.96
64827,0.0,107.55,11.08
64826,4.4,80.8,80.21
64825,0.0,0.0,0.0
64814,0.0,0.0,102.82
64813,152.06,127.0,52.66
64817,,,
65104,0.0,0.0,309.03
64812,92.0,865.85,0.0
64800,0.0,0.0,0.0
64796,0.0,0.0,0.0
64791,0.0,0.0,45.0
64793,81.0,660.79,490.38
64769,0.0,0.0,0.0
64766,0.0,171.44,232.0
64765,0.0,0.0,0.0
64761,30.0,57.2,48.48
64768,33.17,0.0,166.21
64927,39.21,105.12,0.42
64926,0.0,0.0,0.0
64925,0.0,0.0,308.53
64923,22.01,364.47,0.0
64922,0.0,0.0,352.91
64912,0.0,0.0,52.7
64890,0.0,0.0,0.0
64868,0.0,0.0,0.0
64853,,,313.02
64850,50.0,95.27,11.34
64751,80.0,148.0,0.0
64746,64.585,457.0,0.0
64725,9.0,60.0,0.0
64720,43.49,48.3,5.83
64716,14.9,0.0,157.5
64698,0.0,318.0,288.0
64626,0.0,0.8,195.64
64625,0.0,0.0,0.0
64984,0.0,54.9,0.0
